Name,URL,Founded,Headquarters,Size,Type,Specialties,Industry,Description
Ryder Homes,https://www.ryderhomes.com,Privately Held,Real Estate,11-50 employees,"Walnut Creek, CA",1959,"775-823-3788
Phone number is 775-823-3788","Founded in 1959 by Ned Ryder, Ryder Homes remains family-owned and operated by Ned’s son, Jay Ryder. Over the past 25 years, Jay has grown the company into one of the nation’s top 200 building firms, and the largest privately held homebuilder in Northern Nevada. We know...impressive, right?

Our experienced team of homebuilding professionals and our meticulous approach to home design has made the Ryder name synonymous with quality craftsmanship. Unlike most production homebuilders, Ryder Homes designs the homes in each new project specifically for the community they are intended for, and we rarely - if ever - replicate the same plan at another community. We also take great pride in the care and support we give our homeowners as they move in and through our in-house home warranty program.

With regional corporate offices in both Walnut Creek, CA and Reno, NV, Ryder Homes has created residential communities in over 20 counties in California and Nevada for almost 60 years. No matter what the product may be, our efforts remain focused on creating the highest quality and most appealing homes for the homeowners we have the pleasure of serving."
Lincoln Property Company,https://www.lincolnapts.com,1965,"Dallas, TX","5,001-10,000 employees",Privately Held,"Commercial, Residential, Retail, Military, Property Management, and Leasing",Real Estate,"Lincoln Property Company is one of the largest and most diversified real estate companies in the United States, offering a comprehensive suite of value-added services for its clients, including asset and property management, construction management, development and build-to-suit services, investments / acquisitions, and landlord representation. Lincoln is highly regarded within the real estate community and among its clientele: investors, lenders, tenants, and owners of commercial real estate. Additionally, its experienced team and ownership mentality uniquely position Lincoln as one of the most trusted real estate partners among institutional real estate investors. 

Founded in 1965, Lincoln currently has approximately 7,300 employees and maintains a presence in more than 200 cities in the United States and 10 countries throughout Europe. Lincoln manages and leases over 403 million square feet and has developed over 112 million square feet of office, industrial, and retail  projects, and currently manages over 212,000 multifamily units. Acquisition activities exceed $15 billion over the last 15 years, and Lincoln currently has over $76 billion in assets under management."
Bozzuto,http://www.bozzuto.com,1988,"Greenbelt, MD","1,001-5,000 employees",Privately Held,"Acquisitions, Construction, Development, Homebuilding, Land Development, Property Management, Real Estate, Customer Service, and Hospitality",Real Estate,"Bozzuto is an experiential residential real estate company that creates extraordinary experiences of home and community. The company's areas of expertise lie in homebuilding and multifamily development, as well as construction and management both for itself and its clients. Founded in 1988, Bozzuto has developed, acquired and built more than 42,000 homes and apartments and currently manages more than 70,000 apartments and approximately two million square feet of retail space along the East Coast between South Florida and Boston, in the Northeast and in Chicago."
Drees Homes,http://www.dreeshomes.com,1928,"Ft. Mitchell, KY","501-1,000 employees",Privately Held,New Homes and New Condos & Town Homes,Construction,"Our company’s mission is to be America’s leading private homebuilder. We are focused on delivering to our customers the home and features that they uniquely desire with the craftsmanship, durability and a long standing reputation that's uniquely Drees.

Drees Homes, family-owned and operated for 90 years, is ranked as the thirtieth largest home builder in the country by BUILDER media brand as well as the twelfth largest privately-owned home builder in the country. 

Drees has been recognized with many prestigious industry honors, including the home building industry’s equivalent of the Triple Crown, winning all three major industry awards: America's Best Builder, National Housing Quality Award and National Builder of the Year.

Headquartered in Ft. Mitchell, Kentucky, Drees operates in Northern Kentucky; Cincinnati and Cleveland, OH; Indianapolis, IN; Jacksonville, FL;  Nashville, TN; Raleigh, NC; Washington D.C./Maryland/Virginia ; Austin, Houston, and Dallas, TX.  The company operates as “Drees Custom Homes” in Texas.

To view our current job openings and apply for positions online, please visit our career portal via the following link: https://careers-dreeshomes.icims.com

You can also follow us on: 

Facebook: https://www.facebook.com/DreesHomes

Twitter: https://twitter.com/dreeshomes

Pinterest: http://www.pinterest.com/dreeshomes

YouTube: https://www.youtube.com/user/dreescustomhomes

Instagram: http://instagram.com/dreeshomes/#

Blog: http://blog.dreeshomes.com/"
The Beechwood Organization - Beechwood Homes NY,http://www.beechwoodhomes.com,1985,"Jericho, New York",51-200 employees,Privately Held,"Home Builder, Lifestyle Communities, Mixed-Use Developments, Active Adult Lifestyle Communities, Luxury Rentals, and Real Estate Developer",Real Estate,"THE BEECHWOOD ORGANIZATION is Long Island’s largest homebuilder and developer of sophisticated lifestyle communities and is ranked at the forefront of privately owned residential homebuilders nationwide.

Since 1985, Beechwood has built more than 7,000 homes in 60 communities across the New York metro area with new sites in development.  

Brand names include Arverne by the Sea, Bishops Pond, Country Pointe, Harbor Pointe, Marina Pointe, Meadowbrook Pointe and The Vanderbilt. 

Transitioning from local builder to national leader, in 2018, the National Association of Home Builders cited Beechwood Homes a Top 250 builder in the United States where it also ranks 116th in Professional Builder Magazine’s Housing Giants Top 400.  In 2017, Long Island Business News cited Beechwood as “the most prolific home builder on Long Island” and Residential Developer of the Year for four years running.

Founder and CEO Michael Dubb, joined by son and principal Steven Dubb in 2008, is renowned for his innovative and forward thinking in “not just selling a home, but a lifestyle” with signature quality construction and design for the way sophisticated buyers and renters want to live today. 

Beechwood holds dear its commitment to thoughtful land planning and design, repurposing underutilized land, building in harmony with nature and creating a benefit for all residents.

Beechwood kicks off 2018 with 3.9 million square feet of developments in progress and new ones on the map in Nassau County, Suffolk County and Queens featuring:

*The Vanderbilt in Westbury, LI's first luxury rental apartments and hotel with the finest amenities;

*Country Pointe Plainview, the largest lifestyle community in Nassau County with 750 homes; 118,450-square-foot retail plaza; and 57 contiguous acres to be dedicated to the Town of Oyster Bay for public recreation;

*Country Pointe Meadows in Yaphank, a Suffolk County active adult lifestyle community of 400 condominium residences that is part of The Boulevard."
Bill Beazley Homes,http://www.billbeazleyhomes.com,1976,"Evans, GA",51-200 employees,Privately Held,"home building, new homes, custom homes, and home builder",Construction,"Bill Beazley has been building new homes in the Augusta, Georgia, area since 1976. The primary focus of the company is to build premium quality homes offering superior value for the homeowner. The overriding goal of Bill Beazley Homes is customer satisfaction and this goal is achieved by careful attention to detail and prompt warranty service. The high standards we have established can be credited to our supervisors, staff, trade contractors and suppliers."
Vantage Homes,http://vhco.com,1983,"Colorado Springs, Colorado",11-50 employees,Privately Held,"homebuilding, real estate, neighborhoods, community development, and new home sales",Real Estate,"At Vantage Homes, constructing a beautiful new home is a collaborative art.
One part home builder, one part home buyer, and a million different ideas about how to take what’s on the new home blueprint and transform it into something uniquely and personally yours. The way we see it, home building isn’t about lumber and nails. Or fitting someone else’s vision into our idea of a box.
 
It’s about listening and crafting lifestyles.
Getting home buyers to feel as involved and comfortable with the home design and construction process as they’ll ultimately feel about their new home.
 
When you’re ready to put your fingerprint on the world, talk to Vantage Homes.  We won’t just listen. We’ll deliver.
Vantage has been building award-winning new homes in Colorado Springs, Falcon, Peyton, and Monument, Colorado since 1983 with beautiful new homes ready now in premier neighborhoods."
Kerley Family Homes,http://kerleyfamilyhomes.com,Privately Held,Construction,51-200 employees,"Marietta, GA",2007,"(770) 792-5500
Phone number is (770) 792-5500","Our slogan says it all: “At Kerley Family Homes, It’s All About Value.” And that it is! With a multitude of Atlanta area communities featuring quality homes priced from the $200’s to the $700’s, we pride ourselves in offering homes at the best value possible.

Kerley Family Homes was established in 2007 by father and son team, Gene and Joe Kerley. Gene Kerley, master carpenter and former president of one of America’s top 50 builder companies, has joined forces with his builder son to form Kerley Family Homes. Gene and Joe Kerley share a lifelong passion for building value-packed homes in prestigious neighborhoods around metro Atlanta. Their commitment to family values and meeting home buyers’ needs leads them to form individual relationships with each buyer.

Now in the business for 20 years, Joe has always wanted to follow in his father’s footsteps. He spent the summers of his teen years working around job sites as a laborer, and his career progressed until he eventually became a superintendent managing multiple subdivisions. Most recently, he owned a contracting company where he ran a crew of 60 carpenters and 15 siding contractors.

Together, the duo brings a level of expertise and keen eye for details that can be seen in all homes built by Kerley Family Homes. Before emerging home trends are offered by other builders in the Atlanta new home market, Kerley Family Homes offers these as standard features, making their homes unique for buyers. Their careful, up-close business management reduces overhead expenses, allowing Kerley Family Homes to provide value-packed homes with the most up-to-date features on the market."
McCaffrey Homes,http://www.mccaffreyhomes.com,1976,"Fresno, CA",11-50 employees,Privately Held,"New Home Construction, New Home Mortgage, and Home Builder",Real Estate,"For McCaffrey Homes, Built for a Lifetime means more than quality homes built to last.  It’s about a tradition of pride, craftsmanship, and the idea of “home”.  

For three generations, McCaffrey Homes has been exceeding homeowners' expectations in California's Central San Joaquin Valley with desirable communities, award winning designs, quality and service. 

You'll find our award-winning, energy smart single-family homes in the best locations - all in welcoming, beautifully landscaped neighborhoods close to top-rated schools and inviting parks. McCaffrey Homes’ new home communities are full of happy homeowners. We invite you to discover why."
The Wormald Companies,http://www.wormald.com,1964,"Frederick, MD",51-200 employees,Privately Held,"residential and commercial land development, engineering, and architecture and construction.",Real Estate,"Award-winning developers, designers and builders, The Wormald Companies is a family business with deep local roots. Founded in 1964, our visionary, design-intensive organization specializes in creating new and innovative homes and communities built to the highest standards.

The Wormald staff is made up of registered civil engineers, architects, surveyors, and real estate professionals who take a ""hands-on"" approach to building. Together, as a team, we rigorously evaluate and continuously adjust floor plans, designs, and construction methods to ensure that we always deliver fresh, creatively designed homes of the finest quality.

Our core philosophy is to stay product-focused in our growth. From the very start, founder and Chairman of the Board Bob Wormald believed that if he put the quality and attention to detail into the end product, people would respond and word would spread. This initial belief has proven true and today, fully a third of our business is referral-driven.

In conjunction with this core belief, we devote a large portion of our energies to land planning and product development, bringing in some of the brightest minds from around the country to develop our work into final form.

Wormald has been privileged to win many awards, including the coveted ""Buildability Award"" recognizing outstanding scheduling, supervision, engineering, quality control, and ethics in the construction of new homes."
